File,Name of outfile,unit,nbands,var name,unit_origin, operation, comment
soilc,LPJmL_cSoil.nc, kgC_Per_m2,1,cSoil,gramC_Per_m2,division by 1000, -
vegc,LPJmL_cVeg.nc, kgC_Per_m2,1,cVeg,gramC_Per_m2,division by 1000, -
litc,LPJmL_cLitter.nc, kgC_Per_m2,1,cLitter,gramC_Per_m2,division by 1000, -
flux_harvest,LPJmL_fHarvest.nc,kgC_Per_m2,1,fHarvest,gramC_Per_m2,division by 1000, -
firec,LPJmL_fFire.nc,kgC_Per_m2,1,fFire,gramC_Per_m2,division by 1000, -
flux_estab,LPJmL_fEstab.nc,kgC_Per_m2,1,fEstab,gramC_Per_m2,division by 1000, -
